Date,StoreKey,AccountKey,Amount
2024-01-01,1,4000,243037.4
2024-01-01,1,4100,84638.75
2024-01-01,1,4200,25432.28
2024-01-01,1,5000,171614.2
2024-01-01,1,5100,7588.71
2024-01-01,1,5200,2099.78
2024-01-01,1,6000,68443.97
2024-01-01,1,6010,15057.67
2024-01-01,1,6100,39437.1
2024-01-01,1,6110,3129.81
2024-01-01,1,6120,3419.04
2024-01-01,1,6200,11634.17
2024-01-01,1,6210,3750.35
2024-01-01,1,6300,6225.85
2024-01-01,1,6310,1963.62
2024-01-01,1,6400,2800.0
2024-01-01,1,6410,1450.0
2024-01-01,1,6420,2268.6
2024-01-01,1,6430,509.53
2024-01-01,1,7000,9500.0
2024-02-01,1,4000,252252.39
2024-02-01,1,4100,87847.9
2024-02-01,1,4200,25398.57
2024-02-01,1,5000,177783.5
2024-02-01,1,5100,8189.33
2024-02-01,1,5200,2226.97
2024-02-01,1,6000,71523.03
2024-02-01,1,6010,15735.07
2024-02-01,1,6100,39437.1
2024-02-01,1,6110,3106.38
2024-02-01,1,6120,3966.36
2024-02-01,1,6200,11970.84
2024-02-01,1,6210,4019.51
2024-02-01,1,6300,6461.91
2024-02-01,1,6310,1991.63
2024-02-01,1,6400,2800.0
2024-02-01,1,6410,1450.0
2024-02-01,1,6420,862.5
2024-02-01,1,6430,842.17
2024-02-01,1,7000,9500.0
2024-03-01,1,4000,294821.4
2024-03-01,1,4100,102672.73
2024-03-01,1,4200,28649.13
2024-03-01,1,5000,208491.15
2024-03-01,1,5100,8743.04
2024-03-01,1,5200,3142.9
2024-03-01,1,6000,75676.47
2024-03-01,1,6010,16648.82
2024-03-01,1,6100,39437.1
2024-03-01,1,6110,2228.22
2024-03-01,1,6120,2369.87
2024-03-01,1,6200,13027.97
2024-03-01,1,6210,13887.97
2024-03-01,1,6300,7552.39
2024-03-01,1,6310,2291.65
2024-03-01,1,6400,2800.0
2024-03-01,1,6410,1450.0
2024-03-01,1,6420,941.68
2024-03-01,1,6430,537.62
2024-03-01,1,7000,9500.0
2024-04-01,1,4000,323767.33
2024-04-01,1,4100,112753.27
2024-04-01,1,4200,32068.02
2024-04-01,1,5000,227424.13
2024-04-01,1,5100,10205.98
2024-04-01,1,5200,3361.56
2024-04-01,1,6000,77687.32
2024-04-01,1,6010,17091.21
2024-04-01,1,6100,39437.1
2024-04-01,1,6110,2422.57
2024-04-01,1,6120,4386.24
2024-04-01,1,6200,14990.73
2024-04-01,1,6210,3638.73
2024-04-01,1,6300,8293.89
2024-04-01,1,6310,2659.94
2024-04-01,1,6400,2800.0
2024-04-01,1,6410,1450.0
2024-04-01,1,6420,815.73
2024-04-01,1,6430,811.8
2024-04-01,1,7000,9500.0
2024-05-01,1,4000,334720.58
2024-05-01,1,4100,116567.79
2024-05-01,1,4200,34449.45
2024-05-01,1,5000,234815.29
2024-05-01,1,5100,10017.34
2024-05-01,1,5200,2613.5
2024-05-01,1,6000,76554.48
2024-05-01,1,6010,16841.99
2024-05-01,1,6100,39437.1
2024-05-01,1,6110,2228.51
2024-05-01,1,6120,1888.83
2024-05-01,1,6200,14662.8
2024-05-01,1,6210,3755.5
2024-05-01,1,6300,8574.48
2024-05-01,1,6310,2605.06
2024-05-01,1,6400,2800.0
2024-05-01,1,6410,1450.0
2024-05-01,1,6420,923.36
2024-05-01,1,6430,517.88
2024-05-01,1,7000,9500.0
2024-06-01,1,4000,383919.17
2024-06-01,1,4100,133701.39
2024-06-01,1,4200,41024.39
2024-06-01,1,5000,268792.15
2024-06-01,1,5100,11485.43
2024-06-01,1,5200,3532.72
2024-06-01,1,6000,82624.48
2024-06-01,1,6010,18177.39
2024-06-01,1,6100,39437.1
2024-06-01,1,6110,2191.03
2024-06-01,1,6120,2524.06
2024-06-01,1,6200,17334.38
2024-06-01,1,6210,11543.01
2024-06-01,1,6300,9834.79
2024-06-01,1,6310,2828.23
2024-06-01,1,6400,2800.0
2024-06-01,1,6410,1450.0
2024-06-01,1,6420,945.9
2024-06-01,1,6430,605.53
2024-06-01,1,7000,9500.0
2024-07-01,1,4000,399933.64
2024-07-01,1,4100,139278.49
2024-07-01,1,4200,39667.01
2024-07-01,1,5000,280519.4
2024-07-01,1,5100,12775.29
2024-07-01,1,5200,4045.36
2024-07-01,1,6000,83875.06
2024-07-01,1,6010,18452.51
2024-07-01,1,6100,39437.1
2024-07-01,1,6110,2692.81
2024-07-01,1,6120,3087.26
2024-07-01,1,6200,18848.95
2024-07-01,1,6210,3401.1
2024-07-01,1,6300,10245.03
2024-07-01,1,6310,2955.25
2024-07-01,1,6400,2800.0
2024-07-01,1,6410,1450.0
2024-07-01,1,6420,1070.33
2024-07-01,1,6430,669.5
2024-07-01,1,7000,9500.0
2024-08-01,1,4000,352481.03
2024-08-01,1,4100,122752.93
2024-08-01,1,4200,34707.34
2024-08-01,1,5000,246897.65
2024-08-01,1,5100,11169.06
2024-08-01,1,5200,3638.28
2024-08-01,1,6000,79829.29
2024-08-01,1,6010,17562.44
2024-08-01,1,6100,39437.1
2024-08-01,1,6110,3175.72
2024-08-01,1,6120,1370.76
2024-08-01,1,6200,15948.77
2024-08-01,1,6210,3796.24
2024-08-01,1,6300,9029.45
2024-08-01,1,6310,2748.25
2024-08-01,1,6400,2800.0
2024-08-01,1,6410,1450.0
2024-08-01,1,6420,929.91
2024-08-01,1,6430,621.06
2024-08-01,1,7000,9500.0
2024-09-01,1,4000,300620.33
2024-09-01,1,4100,104692.23
2024-09-01,1,4200,30866.9
2024-09-01,1,5000,211531.19
2024-09-01,1,5100,9035.31
2024-09-01,1,5200,2549.52
2024-09-01,1,6000,74551.11
2024-09-01,1,6010,16401.24
2024-09-01,1,6100,39437.1
2024-09-01,1,6110,2192.34
2024-09-01,1,6120,4402.48
2024-09-01,1,6200,13501.73
2024-09-01,1,6210,12211.96
2024-09-01,1,6300,7700.94
2024-09-01,1,6310,2289.5
2024-09-01,1,6400,2800.0
2024-09-01,1,6410,1450.0
2024-09-01,1,6420,1037.24
2024-09-01,1,6430,645.35
2024-09-01,1,7000,9500.0
2024-10-01,1,4000,280102.96
2024-10-01,1,4100,97546.98
2024-10-01,1,4200,27990.05
2024-10-01,1,5000,196483.46
2024-10-01,1,5100,8728.71
2024-10-01,1,5200,2612.7
2024-10-01,1,6000,72934.56
2024-10-01,1,6010,16045.6
2024-10-01,1,6100,39437.1
2024-10-01,1,6110,2396.14
2024-10-01,1,6120,1686.28
2024-10-01,1,6200,12515.84
2024-10-01,1,6210,3941.05
2024-10-01,1,6300,7175.35
2024-10-01,1,6310,2435.0
2024-10-01,1,6400,2800.0
2024-10-01,1,6410,1450.0
2024-10-01,1,6420,756.84
2024-10-01,1,6430,708.91
2024-10-01,1,7000,9500.0
2024-11-01,1,4000,331016.68
2024-11-01,1,4100,115277.88
2024-11-01,1,4200,33764.44
2024-11-01,1,5000,232763.21
2024-11-01,1,5100,10744.95
2024-11-01,1,5200,3195.65
2024-11-01,1,6000,74865.67
2024-11-01,1,6010,16470.45
2024-11-01,1,6100,39437.1
2024-11-01,1,6110,2200.69
2024-11-01,1,6120,1632.01
2024-11-01,1,6200,15396.63
2024-11-01,1,6210,4066.67
2024-11-01,1,6300,8479.6
2024-11-01,1,6310,2863.68
2024-11-01,1,6400,2800.0
2024-11-01,1,6410,1450.0
2024-11-01,1,6420,761.61
2024-11-01,1,6430,845.05
2024-11-01,1,7000,9500.0
2024-12-01,1,4000,411348.24
2024-12-01,1,4100,143253.68
2024-12-01,1,4200,41978.65
2024-12-01,1,5000,288245.28
2024-12-01,1,5100,13212.45
2024-12-01,1,5200,3253.86
2024-12-01,1,6000,82642.5
2024-12-01,1,6010,18181.35
2024-12-01,1,6100,39437.1
2024-12-01,1,6110,2740.07
2024-12-01,1,6120,1661.1
2024-12-01,1,6200,19550.6
2024-12-01,1,6210,13738.26
2024-12-01,1,6300,10537.44
2024-12-01,1,6310,3311.31
2024-12-01,1,6400,2800.0
2024-12-01,1,6410,1450.0
2024-12-01,1,6420,740.95
2024-12-01,1,6430,526.43
2024-12-01,1,7000,9500.0
2025-01-01,1,4000,277238.32
2025-01-01,1,4100,96549.36
2025-01-01,1,4200,29812.02
2025-01-01,1,5000,195828.75
2025-01-01,1,5100,8564.12
2025-01-01,1,5200,2834.59
2025-01-01,1,6000,72290.39
2025-01-01,1,6010,15903.89
2025-01-01,1,6100,39437.1
2025-01-01,1,6110,2890.13
2025-01-01,1,6120,3394.21
2025-01-01,1,6200,13114.15
2025-01-01,1,6210,3971.74
2025-01-01,1,6300,7101.97
2025-01-01,1,6310,2201.97
2025-01-01,1,6400,2800.0
2025-01-01,1,6410,1479.0
2025-01-01,1,6420,2834.06
2025-01-01,1,6430,800.33
2025-01-01,1,7000,9500.0
2025-02-01,1,4000,267964.33
2025-02-01,1,4100,93319.65
2025-02-01,1,4200,26392.91
2025-02-01,1,5000,188784.97
2025-02-01,1,5100,8268.82
2025-02-01,1,5200,2077.42
2025-02-01,1,6000,71262.76
2025-02-01,1,6010,15677.81
2025-02-01,1,6100,39437.1
2025-02-01,1,6110,2720.18
2025-02-01,1,6120,1391.52
2025-02-01,1,6200,12670.86
2025-02-01,1,6210,4097.87
2025-02-01,1,6300,6864.4
2025-02-01,1,6310,2170.06
2025-02-01,1,6400,2800.0
2025-02-01,1,6410,1479.0
2025-02-01,1,6420,942.74
2025-02-01,1,6430,825.5
2025-02-01,1,7000,9500.0
2025-03-01,1,4000,310649.31
2025-03-01,1,4100,108184.87
2025-03-01,1,4200,30848.96
2025-03-01,1,5000,219301.6
2025-03-01,1,5100,10022.17
2025-03-01,1,5200,2539.59
2025-03-01,1,6000,74569.19
2025-03-01,1,6010,16405.22
2025-03-01,1,6100,39437.1
2025-03-01,1,6110,2229.76
2025-03-01,1,6120,3417.99
2025-03-01,1,6200,13861.77
2025-03-01,1,6210,13146.49
2025-03-01,1,6300,7957.85
2025-03-01,1,6310,2615.38
2025-03-01,1,6400,2800.0
2025-03-01,1,6410,1479.0
2025-03-01,1,6420,720.49
2025-03-01,1,6430,723.64
2025-03-01,1,7000,9500.0
2025-04-01,1,4000,330715.23
2025-04-01,1,4100,115172.91
2025-04-01,1,4200,34712.4
2025-04-01,1,5000,233007.67
2025-04-01,1,5100,9772.76
2025-04-01,1,5200,3504.64
2025-04-01,1,6000,75476.91
2025-04-01,1,6010,16604.92
2025-04-01,1,6100,39437.1
2025-04-01,1,6110,2117.64
2025-04-01,1,6120,3464.36
2025-04-01,1,6200,15276.4
2025-04-01,1,6210,3432.8
2025-04-01,1,6300,8471.87
2025-04-01,1,6310,2651.36
2025-04-01,1,6400,2800.0
2025-04-01,1,6410,1479.0
2025-04-01,1,6420,882.06
2025-04-01,1,6430,734.81
2025-04-01,1,7000,9500.0
2025-05-01,1,4000,373362.88
2025-05-01,1,4100,130025.12
2025-05-01,1,4200,37248.76
2025-05-01,1,5000,262587.51
2025-05-01,1,5100,11522.58
2025-05-01,1,5200,3873.38
2025-05-01,1,6000,78490.34
2025-05-01,1,6010,17267.87
2025-05-01,1,6100,39437.1
2025-05-01,1,6110,2302.39
2025-05-01,1,6120,3794.03
2025-05-01,1,6200,16498.69
2025-05-01,1,6210,3383.97
2025-05-01,1,6300,9564.37
2025-05-01,1,6310,3219.89
2025-05-01,1,6400,2800.0
2025-05-01,1,6410,1479.0
2025-05-01,1,6420,1162.16
2025-05-01,1,6430,554.05
2025-05-01,1,7000,9500.0
2025-06-01,1,4000,414351.56
2025-06-01,1,4100,144299.59
2025-06-01,1,4200,39987.76
2025-06-01,1,5000,291002.19
2025-06-01,1,5100,13451.26
2025-06-01,1,5200,4213.33
2025-06-01,1,6000,84854.41
2025-06-01,1,6010,18667.97
2025-06-01,1,6100,39437.1
2025-06-01,1,6110,2453.16
2025-06-01,1,6120,1703.65
2025-06-01,1,6200,19163.09
2025-06-01,1,6210,11922.15
2025-06-01,1,6300,10614.37
2025-06-01,1,6310,3222.4
2025-06-01,1,6400,2800.0
2025-06-01,1,6410,1479.0
2025-06-01,1,6420,1029.82
2025-06-01,1,6430,552.4
2025-06-01,1,7000,9500.0
2025-07-01,1,4000,424762.47
2025-07-01,1,4100,147925.24
2025-07-01,1,4200,42964.21
2025-07-01,1,5000,297917.71
2025-07-01,1,5100,13699.29
2025-07-01,1,5200,4490.59
2025-07-01,1,6000,84387.25
2025-07-01,1,6010,18565.19
2025-07-01,1,6100,39437.1
2025-07-01,1,6110,2969.76
2025-07-01,1,6120,1333.01
2025-07-01,1,6200,19972.16
2025-07-01,1,6210,3504.66
2025-07-01,1,6300,10881.07
2025-07-01,1,6310,3769.0
2025-07-01,1,6400,2800.0
2025-07-01,1,6410,1479.0
2025-07-01,1,6420,1157.47
2025-07-01,1,6430,886.15
2025-07-01,1,7000,9500.0
2025-08-01,1,4000,374312.83
2025-08-01,1,4100,130355.94
2025-08-01,1,4200,36819.28
2025-08-01,1,5000,263813.81
2025-08-01,1,5100,12149.47
2025-08-01,1,5200,3734.38
2025-08-01,1,6000,79392.17
2025-08-01,1,6010,17466.28
2025-08-01,1,6100,39437.1
2025-08-01,1,6110,2828.36
2025-08-01,1,6120,2155.35
2025-08-01,1,6200,16733.2
2025-08-01,1,6210,3725.02
2025-08-01,1,6300,9588.71
2025-08-01,1,6310,3135.32
2025-08-01,1,6400,2800.0
2025-08-01,1,6410,1479.0
2025-08-01,1,6420,1090.94
2025-08-01,1,6430,684.6
2025-08-01,1,7000,9500.0
2025-09-01,1,4000,322891.92
2025-09-01,1,4100,112448.41
2025-09-01,1,4200,33091.04
2025-09-01,1,5000,226746.72
2025-09-01,1,5100,9850.45
2025-09-01,1,5200,3520.3
2025-09-01,1,6000,78201.4
2025-09-01,1,6010,17204.31
2025-09-01,1,6100,39437.1
2025-09-01,1,6110,2247.03
2025-09-01,1,6120,4144.98
2025-09-01,1,6200,14593.24
2025-09-01,1,6210,11955.49
2025-09-01,1,6300,8271.47
2025-09-01,1,6310,2846.13
2025-09-01,1,6400,2800.0
2025-09-01,1,6410,1479.0
2025-09-01,1,6420,1133.19
2025-09-01,1,6430,687.66
2025-09-01,1,7000,9500.0
2025-10-01,1,4000,300267.8
2025-10-01,1,4100,104569.46
2025-10-01,1,4200,31084.77
2025-10-01,1,5000,210982.54
2025-10-01,1,5100,9160.69
2025-10-01,1,5200,2860.05
2025-10-01,1,6000,75159.83
2025-10-01,1,6010,16535.16
2025-10-01,1,6100,39437.1
2025-10-01,1,6110,2132.19
2025-10-01,1,6120,3282.17
2025-10-01,1,6200,13418.4
2025-10-01,1,6210,3634.31
2025-10-01,1,6300,7691.91
2025-10-01,1,6310,2514.67
2025-10-01,1,6400,2800.0
2025-10-01,1,6410,1479.0
2025-10-01,1,6420,893.19
2025-10-01,1,6430,901.13
2025-10-01,1,7000,9500.0
2025-11-01,1,4000,353697.13
2025-11-01,1,4100,123176.45
2025-11-01,1,4200,36738.47
2025-11-01,1,5000,248777.76
2025-11-01,1,5100,10773.28
2025-11-01,1,5200,2824.59
2025-11-01,1,6000,77534.5
2025-11-01,1,6010,17057.59
2025-11-01,1,6100,39437.1
2025-11-01,1,6110,2310.89
2025-11-01,1,6120,2954.3
2025-11-01,1,6200,16484.73
2025-11-01,1,6210,3688.11
2025-11-01,1,6300,9060.6
2025-11-01,1,6310,3003.08
2025-11-01,1,6400,2800.0
2025-11-01,1,6410,1479.0
2025-11-01,1,6420,1098.63
2025-11-01,1,6430,630.1
2025-11-01,1,7000,9500.0
